Time;Value;Detail
Jun-11;4.2;CPI 12-month inflation rates for the last 10 years, UK, June 2011 to June 2021
Jul-11;4,4;
Aug-11;4,5;
Sep-11;5,2;
Oct-11;5,0;
Nov-11;4,8;
Dec-11;4,2;
Jan-12;3,6;
Feb-12;3,4;
Mar-12;3,5;
Apr-12;3,0;
May-12;2,8;
Jun-12;2,4;
Jul-12;2,6;
Aug-12;2,5;
Sep-12;2,2;
Oct-12;2,7;
Nov-12;2,7;
Dec-12;2,7;
Jan-13;2,7;
Feb-13;2,8;
Mar-13;2,8;
Apr-13;2,4;
May-13;2,7;
Jun-13;2,9;
Jul-13;2,8;
Aug-13;2,7;
Sep-13;2,7;
Oct-13;2,2;
Nov-13;2,1;
Dec-13;2,0;
Jan-14;1,9;
Feb-14;1,7;
Mar-14;1,6;
Apr-14;1,8;
May-14;1,5;
Jun-14;1,9;
Jul-14;1,6;
Aug-14;1,5;
Sep-14;1,2;
Oct-14;1,3;
Nov-14;1,0;
Dec-14;0,5;
Jan-15;0,3;
Feb-15;0,0;
Mar-15;0,0;
Apr-15;-0,1;
May-15;0,1;
Jun-15;0,0;
Jul-15;0,1;
Aug-15;0,0;
Sep-15;-0,1;
Oct-15;-0,1;
Nov-15;0,1;
Dec-15;0,2;
Jan-16;0,3;
Feb-16;0,3;
Mar-16;0,5;
Apr-16;0,3;
May-16;0,3;
Jun-16;0,5;
Jul-16;0,6;
Aug-16;0,6;
Sep-16;1,0;
Oct-16;0,9;
Nov-16;1,2;
Dec-16;1,6;
Jan-17;1,8;
Feb-17;2,3;
Mar-17;2,3;
Apr-17;2,7;
May-17;2,9;
Jun-17;2,6;
Jul-17;2,6;
Aug-17;2,9;
Sep-17;3,0;
Oct-17;3,0;
Nov-17;3,1;
Dec-17;3,0;
Jan-18;3,0;
Feb-18;2,7;
Mar-18;2,5;
Apr-18;2,4;
May-18;2,4;
Jun-18;2,4;
Jul-18;2,5;
Aug-18;2,7;
Sep-18;2,4;
Oct-18;2,4;
Nov-18;2,3;
Dec-18;2,1;
Jan-19;1,8;
Feb-19;1,9;
Mar-19;1,9;
Apr-19;2,1;
May-19;2,0;
Jun-19;2,0;
Jul-19;2,1;
Aug-19;1,7;
Sep-19;1,7;
Oct-19;1,5;
Nov-19;1,5;
Dec-19;1,3;
Jan-20;1,8;
Feb-20;1,7;
Mar-20;1,5;
Apr-20;0,8;
May-20;0,5;
Jun-20;0,6;
Jul-20;1,0;
Aug-20;0,2;
Sep-20;0,5;
Oct-20;0,7;
Nov-20;0,3;
Dec-20;0,6;
Jan-21;0,7;
Feb-21;0,4;
Mar-21;0,7;
Apr-21;1,5;
May-21;2,1;
Jun-21;2,5;